
> financial-wallet-frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'D:\\HK6 UIT\\DA1\\financial-wallet-frontend', testMode: true }
✓ Ready in 1191ms
 GET /login 200 in 179ms (compile: 9ms, proxy.ts: 7ms, render: 163ms)
 GET /login 200 in 188ms (compile: 9ms, proxy.ts: 9ms, render: 170ms)
 GET /login 200 in 154ms (compile: 9ms, proxy.ts: 4ms, render: 141ms)
 GET /login 200 in 254ms (compile: 9ms, proxy.ts: 5ms, render: 240ms)
 GET /login 200 in 255ms (compile: 7ms, proxy.ts: 5ms, render: 243ms)
 GET /login 200 in 246ms (compile: 8ms, proxy.ts: 5ms, render: 233ms)
 GET /login 200 in 146ms (compile: 8ms, proxy.ts: 5ms, render: 134ms)
 GET /login 200 in 142ms (compile: 9ms, proxy.ts: 5ms, render: 128ms)
 GET /login 200 in 200ms (compile: 8ms, proxy.ts: 5ms, render: 187ms)
 GET /login 200 in 162ms (compile: 8ms, proxy.ts: 4ms, render: 150ms)
 GET /login 200 in 162ms (compile: 8ms, proxy.ts: 5ms, render: 149ms)
 GET /login 200 in 134ms (compile: 7ms, proxy.ts: 9ms, render: 117ms)
 GET /login 200 in 151ms (compile: 7ms, proxy.ts: 4ms, render: 140ms)
 GET /login 200 in 124ms (compile: 6ms, proxy.ts: 4ms, render: 113ms)
 GET /login 200 in 126ms (compile: 6ms, proxy.ts: 3ms, render: 116ms)
 GET /login 200 in 165ms (compile: 6ms, proxy.ts: 5ms, render: 154ms)
 GET /login 200 in 172ms (compile: 11ms, proxy.ts: 5ms, render: 156ms)
 GET /login 200 in 185ms (compile: 7ms, proxy.ts: 4ms, render: 174ms)
 GET /login 200 in 167ms (compile: 7ms, proxy.ts: 5ms, render: 154ms)
 GET /login 200 in 171ms (compile: 9ms, proxy.ts: 7ms, render: 155ms)
 GET /login 200 in 160ms (compile: 7ms, proxy.ts: 4ms, render: 149ms)
 GET /login 200 in 129ms (compile: 8ms, proxy.ts: 6ms, render: 115ms)
 GET /login 200 in 127ms (compile: 9ms, proxy.ts: 5ms, render: 113ms)
 GET /login 200 in 121ms (compile: 8ms, proxy.ts: 4ms, render: 109ms)
 GET /login 200 in 123ms (compile: 6ms, proxy.ts: 5ms, render: 112ms)
 GET /login 200 in 301ms (compile: 8ms, proxy.ts: 4ms, render: 289ms)
 GET /login 200 in 330ms (compile: 9ms, proxy.ts: 3ms, render: 317ms)
 GET /login 200 in 301ms (compile: 17ms, proxy.ts: 4ms, render: 281ms)
 GET /login 200 in 146ms (compile: 9ms, proxy.ts: 4ms, render: 133ms)
 GET /login 200 in 122ms (compile: 5ms, proxy.ts: 4ms, render: 113ms)
 GET /login 200 in 130ms (compile: 6ms, proxy.ts: 3ms, render: 121ms)
 GET /login 200 in 135ms (compile: 5ms, proxy.ts: 4ms, render: 127ms)
 GET /login 200 in 129ms (compile: 14ms, proxy.ts: 4ms, render: 111ms)
 GET /login 200 in 126ms (compile: 8ms, proxy.ts: 6ms, render: 112ms)
 GET /login 200 in 127ms (compile: 7ms, proxy.ts: 3ms, render: 117ms)
 GET /login 200 in 144ms (compile: 6ms, proxy.ts: 4ms, render: 134ms)
 GET /login 200 in 149ms (compile: 9ms, proxy.ts: 5ms, render: 135ms)
 GET /login 200 in 164ms (compile: 7ms, proxy.ts: 4ms, render: 153ms)
 GET /login 200 in 209ms (compile: 15ms, proxy.ts: 5ms, render: 189ms)
 GET /login 200 in 196ms (compile: 10ms, proxy.ts: 6ms, render: 181ms)
 GET /login 200 in 178ms (compile: 14ms, proxy.ts: 9ms, render: 155ms)
 GET /login 200 in 121ms (compile: 10ms, proxy.ts: 4ms, render: 107ms)
 GET /login 200 in 118ms (compile: 7ms, proxy.ts: 3ms, render: 108ms)
 GET /login 200 in 117ms (compile: 6ms, proxy.ts: 3ms, render: 107ms)
 GET /login 200 in 115ms (compile: 7ms, proxy.ts: 4ms, render: 104ms)
 GET /login 200 in 121ms (compile: 7ms, proxy.ts: 4ms, render: 110ms)
 GET /login 200 in 119ms (compile: 7ms, proxy.ts: 3ms, render: 109ms)
 GET /login 200 in 117ms (compile: 7ms, proxy.ts: 5ms, render: 105ms)
 GET /login 200 in 119ms (compile: 6ms, proxy.ts: 3ms, render: 109ms)
 GET /login 200 in 263ms (compile: 6ms, proxy.ts: 4ms, render: 254ms)
 GET /login 200 in 237ms (compile: 6ms, proxy.ts: 3ms, render: 228ms)
 GET /login 200 in 236ms (compile: 106ms, proxy.ts: 10ms, render: 120ms)
 GET /login 200 in 115ms (compile: 5ms, proxy.ts: 4ms, render: 106ms)
 GET /login 200 in 129ms (compile: 6ms, proxy.ts: 3ms, render: 119ms)
 GET /login 200 in 137ms (compile: 6ms, proxy.ts: 3ms, render: 128ms)
 GET /login 200 in 144ms (compile: 8ms, proxy.ts: 4ms, render: 131ms)
 GET /login 200 in 147ms (compile: 9ms, proxy.ts: 5ms, render: 134ms)
 GET /login 200 in 164ms (compile: 8ms, proxy.ts: 5ms, render: 152ms)
 GET /login 200 in 175ms (compile: 16ms, proxy.ts: 6ms, render: 152ms)
 GET /login 200 in 180ms (compile: 13ms, proxy.ts: 5ms, render: 161ms)
 GET /login 200 in 205ms (compile: 12ms, proxy.ts: 6ms, render: 187ms)
 GET /login 200 in 187ms (compile: 10ms, proxy.ts: 3ms, render: 174ms)
 GET /login 200 in 168ms (compile: 12ms, proxy.ts: 7ms, render: 149ms)
 GET /login 200 in 118ms (compile: 10ms, proxy.ts: 10ms, render: 98ms)
 GET /login 200 in 101ms (compile: 5ms, proxy.ts: 3ms, render: 92ms)
 GET /login 200 in 103ms (compile: 6ms, proxy.ts: 3ms, render: 94ms)
 GET /login 200 in 106ms (compile: 6ms, proxy.ts: 3ms, render: 97ms)
 GET /login 200 in 108ms (compile: 7ms, proxy.ts: 3ms, render: 98ms)
 GET /login 200 in 110ms (compile: 7ms, proxy.ts: 4ms, render: 99ms)
 GET /login 200 in 118ms (compile: 6ms, proxy.ts: 3ms, render: 109ms)
 GET /login 200 in 123ms (compile: 7ms, proxy.ts: 4ms, render: 112ms)
 GET /login 200 in 129ms (compile: 7ms, proxy.ts: 6ms, render: 116ms)
 GET /login 200 in 252ms (compile: 9ms, proxy.ts: 3ms, render: 239ms)
 GET /login 200 in 262ms (compile: 9ms, proxy.ts: 4ms, render: 249ms)
 GET /login 200 in 257ms (compile: 10ms, proxy.ts: 7ms, render: 240ms)
 GET /login 200 in 128ms (compile: 9ms, proxy.ts: 10ms, render: 109ms)
 GET /login 200 in 113ms (compile: 6ms, proxy.ts: 4ms, render: 102ms)
 GET /login 200 in 128ms (compile: 6ms, proxy.ts: 3ms, render: 119ms)
 GET /login 200 in 184ms (compile: 6ms, proxy.ts: 4ms, render: 173ms)
 GET /login 200 in 160ms (compile: 9ms, proxy.ts: 4ms, render: 146ms)
 GET /login 200 in 155ms (compile: 8ms, proxy.ts: 4ms, render: 142ms)
 GET /login 200 in 160ms (compile: 9ms, proxy.ts: 7ms, render: 144ms)
 GET /login 200 in 217ms (compile: 12ms, proxy.ts: 6ms, render: 200ms)
 GET /login 200 in 183ms (compile: 9ms, proxy.ts: 4ms, render: 170ms)
 GET /login 200 in 163ms (compile: 8ms, proxy.ts: 3ms, render: 151ms)
 GET /login 200 in 165ms (compile: 17ms, proxy.ts: 13ms, render: 135ms)
 GET /login 200 in 127ms (compile: 7ms, proxy.ts: 4ms, render: 116ms)
 GET /login 200 in 134ms (compile: 7ms, proxy.ts: 3ms, render: 123ms)
 GET /login 200 in 131ms (compile: 7ms, proxy.ts: 4ms, render: 119ms)
 GET /login 200 in 129ms (compile: 9ms, proxy.ts: 5ms, render: 115ms)
 GET /login 200 in 131ms (compile: 7ms, proxy.ts: 3ms, render: 121ms)
 GET /login 200 in 169ms (compile: 6ms, proxy.ts: 3ms, render: 160ms)
 GET /login 200 in 138ms (compile: 7ms, proxy.ts: 4ms, render: 127ms)
 GET /login 200 in 131ms (compile: 7ms, proxy.ts: 4ms, render: 119ms)
 GET /login 200 in 117ms (compile: 5ms, proxy.ts: 4ms, render: 108ms)
 GET /login 200 in 261ms (compile: 6ms, proxy.ts: 3ms, render: 252ms)
 GET /login 200 in 262ms (compile: 7ms, proxy.ts: 4ms, render: 251ms)
 GET /login 200 in 268ms (compile: 12ms, proxy.ts: 5ms, render: 251ms)
 GET /login 200 in 136ms (compile: 13ms, proxy.ts: 19ms, render: 103ms)
 GET /login 200 in 78ms (compile: 5ms, proxy.ts: 4ms, render: 70ms)
 GET /login 200 in 45ms (compile: 10ms, proxy.ts: 4ms, render: 31ms)
✓ Compiled in 132ms
 GET /login 200 in 174ms (compile: 75ms, proxy.ts: 45ms, render: 55ms)
 GET /login 200 in 53ms (compile: 8ms, proxy.ts: 5ms, render: 40ms)
 GET /login 200 in 84ms (compile: 2ms, proxy.ts: 2ms, render: 79ms)
 GET /login 200 in 93ms (compile: 4ms, proxy.ts: 3ms, render: 86ms)
 GET /login 200 in 123ms (compile: 5ms, proxy.ts: 3ms, render: 115ms)
 GET /login 200 in 104ms (compile: 6ms, proxy.ts: 3ms, render: 94ms)
 GET /login 200 in 119ms (compile: 4ms, proxy.ts: 5ms, render: 109ms)
 GET /login 200 in 154ms (compile: 5ms, proxy.ts: 4ms, render: 145ms)
 GET /login 200 in 155ms (compile: 5ms, proxy.ts: 3ms, render: 147ms)
 GET /login 200 in 141ms (compile: 7ms, proxy.ts: 4ms, render: 129ms)
 GET /login 200 in 129ms (compile: 9ms, proxy.ts: 5ms, render: 115ms)
 GET /login 200 in 119ms (compile: 6ms, proxy.ts: 4ms, render: 109ms)
 GET /login 200 in 112ms (compile: 3ms, proxy.ts: 3ms, render: 106ms)
 GET /login 200 in 92ms (compile: 4ms, proxy.ts: 3ms, render: 86ms)
 GET /login 200 in 87ms (compile: 4ms, proxy.ts: 3ms, render: 80ms)
 GET /login 200 in 108ms (compile: 4ms, proxy.ts: 4ms, render: 100ms)
 GET /login 200 in 103ms (compile: 5ms, proxy.ts: 3ms, render: 95ms)
 GET /login 200 in 83ms (compile: 5ms, proxy.ts: 3ms, render: 75ms)
 GET /login 200 in 75ms (compile: 3ms, proxy.ts: 3ms, render: 69ms)
 GET /login 200 in 72ms (compile: 3ms, proxy.ts: 3ms, render: 66ms)
 GET /login 200 in 68ms (compile: 4ms, proxy.ts: 2ms, render: 62ms)
 GET /login 200 in 66ms (compile: 4ms, proxy.ts: 2ms, render: 60ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 2ms, render: 57ms)
 GET /login 200 in 66ms (compile: 4ms, proxy.ts: 2ms, render: 60ms)
 GET /login 200 in 66ms (compile: 3ms, proxy.ts: 2ms, render: 60ms)
 GET /login 200 in 65ms (compile: 4ms, proxy.ts: 2ms, render: 59ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 2ms, render: 56ms)
 GET /login 200 in 66ms (compile: 3ms, proxy.ts: 2ms, render: 61ms)
 GET /login 200 in 67ms (compile: 3ms, proxy.ts: 2ms, render: 61ms)
 GET /login 200 in 66ms (compile: 4ms, proxy.ts: 2ms, render: 60ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 2ms, render: 56ms)
 GET /login 200 in 67ms (compile: 3ms, proxy.ts: 2ms, render: 61ms)
 GET /login 200 in 68ms (compile: 3ms, proxy.ts: 2ms, render: 62ms)
